xAxisTopLabel,xAxisGroupLabel,xAxisLabel,xAxisSubLabel,yAxisLabel
FFT,Medium,off-chip memory accesses,non-coh-dma,1
FFT,Medium,execution time,llc-coh-dma,0.879688
FFT,Medium,off-chip memory accesses,llc-coh-dma,0.066813
FFT,Medium,execution time,coh-dma,0.862464
FFT,Medium,off-chip memory accesses,coh-dma,0.000081
FFT,Medium,execution time,full-coh,1.061622
FFT,Medium,off-chip memory accesses,full-coh,0.000142
FFT,Large,execution time,non-coh-dma,1
FFT,Large,off-chip memory accesses,non-coh-dma,1
FFT,Large,execution time,llc-coh-dma,0.987512
FFT,Large,off-chip memory accesses,llc-coh-dma,1.440443
FFT,Large,execution time,coh-dma,0.986156
FFT,Large,off-chip memory accesses,coh-dma,1.440042
FFT,Large,execution time,full-coh,1.809143
FFT,Large,off-chip memory accesses,full-coh,1.440423
Night-vision,Small,execution time,non-coh-dma,1
Night-vision,Small,off-chip memory accesses,non-coh-dma,1
Night-vision,Small,execution time,llc-coh-dma,0.773135
Night-vision,Small,off-chip memory accesses,llc-coh-dma,0.019133
Night-vision,Small,execution time,coh-dma,0.686088
Night-vision,Small,off-chip memory accesses,coh-dma,0
Night-vision,Small,execution time,full-coh,0.767053
Night-vision,Small,off-chip memory accesses,full-coh,0
Night-vision,Medium,execution time,non-coh-dma,1
Night-vision,Medium,off-chip memory accesses,non-coh-dma,1
Night-vision,Medium,execution time,llc-coh-dma,0.952956
Night-vision,Medium,off-chip memory accesses,llc-coh-dma,0.049891
Night-vision,Medium,execution time,coh-dma,0.942362
Night-vision,Medium,off-chip memory accesses,coh-dma,0
Night-vision,Medium,execution time,full-coh,1.077442
Night-vision,Medium,off-chip memory accesses,full-coh,0
Night-vision,Large,execution time,non-coh-dma,1
Night-vision,Large,off-chip memory accesses,non-coh-dma,1
Night-vision,Large,execution time,llc-coh-dma,1.068688
Night-vision,Large,off-chip memory accesses,llc-coh-dma,1.383953
Night-vision,Large,execution time,coh-dma,1.067613
Night-vision,Large,off-chip memory accesses,coh-dma,1.383791
Night-vision,Large,execution time,full-coh,1.2219
Night-vision,Large,off-chip memory accesses,full-coh,1.383951
MRI-Q,Small,execution time,non-coh-dma,1
MRI-Q,Small,off-chip memory accesses,non-coh-dma,1
MRI-Q,Small,execution time,llc-coh-dma,0.417893
MRI-Q,Small,off-chip memory accesses,llc-coh-dma,0.000389
MRI-Q,Small,execution time,coh-dma,0.416813
MRI-Q,Small,off-chip memory accesses,coh-dma,0
MRI-Q,Small,execution time,full-coh,0.452505
MRI-Q,Small,off-chip memory accesses,full-coh,0
MRI-Q,Medium,execution time,non-coh-dma,1
MRI-Q,Medium,off-chip memory accesses,non-coh-dma,1
