xAxisGroupLabel,metric,xAxisLabel,yAxisLabel
50 Iterations,execution time,42,0.8378486216
50 Iterations,execution time,43,0.8347749581
50 Iterations,execution time,44,0.8428161882
50 Iterations,execution time,45,0.8463113126
50 Iterations,execution time,46,0.8383222073
50 Iterations,execution time,47,0.8363549022
50 Iterations,execution time,48,0.8511163125
50 Iterations,execution time,49,0.8353304393
50 Iterations,execution time,50,0.8454572707
50 Iterations,off-chip memory accesses,0,0.7260821367
50 Iterations,off-chip memory accesses,1,0.08270967473
50 Iterations,off-chip memory accesses,2,0.2775883885
50 Iterations,off-chip memory accesses,3,0.1899180333
50 Iterations,off-chip memory accesses,4,0.1505320084
50 Iterations,off-chip memory accesses,5,0.1214293721
50 Iterations,off-chip memory accesses,6,0.2278148659
50 Iterations,off-chip memory accesses,7,0.2209100042
50 Iterations,off-chip memory accesses,8,0.1190727021
50 Iterations,off-chip memory accesses,9,0.08992467593
50 Iterations,off-chip memory accesses,10,0.1541494996
50 Iterations,off-chip memory accesses,11,0.1330216779
50 Iterations,off-chip memory accesses,12,0.1587425466
50 Iterations,off-chip memory accesses,13,0.149910761
50 Iterations,off-chip memory accesses,14,0.1579978312
50 Iterations,off-chip memory accesses,15,0.1740210607
50 Iterations,off-chip memory accesses,16,0.1348322381
50 Iterations,off-chip memory accesses,17,0.1234195767
50 Iterations,off-chip memory accesses,18,0.2664819076
50 Iterations,off-chip memory accesses,19,0.1311286207
50 Iterations,off-chip memory accesses,20,0.3054610715
50 Iterations,off-chip memory accesses,21,0.2165567348
50 Iterations,off-chip memory accesses,22,0.0880921613
50 Iterations,off-chip memory accesses,23,0.1130983369
50 Iterations,off-chip memory accesses,24,0.09271005003
50 Iterations,off-chip memory accesses,25,0.1295633567
50 Iterations,off-chip memory accesses,26,0.1022043697
50 Iterations,off-chip memory accesses,27,0.1160767719
50 Iterations,off-chip memory accesses,28,0.1218950601
50 Iterations,off-chip memory accesses,29,0.1090819115
50 Iterations,off-chip memory accesses,30,0.1016908673
50 Iterations,off-chip memory accesses,31,0.1244045724
50 Iterations,off-chip memory accesses,32,0.1253511018
50 Iterations,off-chip memory accesses,33,0.1229403094
50 Iterations,off-chip memory accesses,34,0.1580846579
50 Iterations,off-chip memory accesses,35,0.1630910857
50 Iterations,off-chip memory accesses,36,0.1021754554
50 Iterations,off-chip memory accesses,37,0.1223248056
50 Iterations,off-chip memory accesses,38,0.0987181964
50 Iterations,off-chip memory accesses,39,0.1216299677
50 Iterations,off-chip memory accesses,40,0.103755809
50 Iterations,off-chip memory accesses,41,0.1246030944
50 Iterations,off-chip memory accesses,42,0.1005473628
50 Iterations,off-chip memory accesses,43,0.1009176883
50 Iterations,off-chip memory accesses,44,0.1021992897
50 Iterations,off-chip memory accesses,45,0.1011429537
50 Iterations,off-chip memory accesses,46,0.1218611342
50 Iterations,off-chip memory accesses,47,0.121292988
50 Iterations,off-chip memory accesses,48,0.1267746572
50 Iterations,off-chip memory accesses,49,0.09972821878
50 Iterations,off-chip memory accesses,50,0.1253521832
